id,intake,years,University Name,Course,Undergrad Institute & Branch,Undergraduate Major,GPA,GRE,IELTS/TOEFL,Papers,Work Exp,created_at,updated_at,Acceptance
2025,"Spring ",2024,"University of Illinois, Urbana-Champaign",Computer Science,,,3.02/4,314,,1,6 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2026,Fall,2024,North Carolina State University,Computer Science,"JNTU, Hyderabad (ECE)",,9.3/10,,8,,36 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2027,Fall,2024,"University of Texas, Dallas",Computer Science,IIT Madras,,,,,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2028,Fall,2024,University of Washington,Business Analytics,Vellore Institute of Technology (ECE),,8.05/10,323,9,,55 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2029,Fall,2024,Northeastern University,Computer Science,,,9.4/10,310,104,3,3 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2030,"Spring ",2024,Northeastern University,Computer Science,,,3.02/4,314,104,3,6 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2031,Fall,2024,Arizona State University,Computer Science,IIT Madras,,10-08-2025 00:00,320,,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2032,Fall,2024,"University of Texas, Dallas",Computer Science,IIT Madras,,,,,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2033,"Spring ",2024,"Illinois Institute of Technology, Chicago",Computer Science,,,3.02/4,314,101,1,6 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2034,Fall,2024,Northeastern University,Computer Science,PES University (CS),,8.5/10,317,109,,30 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2035,Fall,2024,North Carolina State University,Computer Science,"JNTU, Hyderabad (ECE)",,9.3/10,,8,,36 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2036,Fall,2024,Northeastern University,Computer Science,"JNU, Delhi (CS)",,8.3/10,311,101,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2037,"Spring ",2024,"Illinois Institute of Technology, Chicago",Computer Science,,,3.02/4,"314 (157, 157, NA)",,1,6 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2038,"Spring ",2024,"DePaul University, Chicago",Computer Science,,,3.02/4,"314 (157, 157, NA)",,1,6 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2039,Fall,2024,Murray State University,Accounting and Finance,,,3.5/4,"310 (150, 160, NA)",8,,3 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2040,Fall,2024,Arizona State University,Computer Science,IIT Madras,,NA/10,"NA (NA, NA, NA)",,,14 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2041,Fall,2024,Northeastern University,Data Science,PES University Computer Science,,8.5/10,"317 (155, 162, 3.5)",109,,18 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2042,"Spring ",2024,"Illinois Institute of Technology, Chicago",Computer Science,,,3.02/4,"314 (157, 157, NA)",,1,6 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2043,"Spring ",2024,"DePaul University, Chicago",Computer Science,,,3.02/4,"314 (157, 157, NA)",,1,6 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2044,"Fall ",2025,Arizona State University,Computer Science,,,3.5/4,"300 (150, 150, 6)",8,,14 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2045,"Fall ",2025,Arizona State University,Construction Management,Karnataka Civil Engineering,,7.05/10,"NA (NA, NA, NA)",,,2 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2046,"Fall ",2025,Michigan State University,Data Science,NIT Durgapur EEE,,8.46/10,"NA (NA, NA, NA)",97,,30 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2047,"Fall ",2025,Northeastern University,Computer Science,PES University Computer Science,,8.5/10,"317 (155, 162, 3.5)",109,,30 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2048,"Fall ",2025,Northeastern University,Computer Science,Vellore Institute of Technology,,9.07/10,"NA (NA, NA, NA)",8,1,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2049,"Fall ",2025,Northeastern University,Data Science,LNMIIT Jaipur Computer Science,,6.9/10,"326 (159, 167, 4)",8,1,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2050,"Fall ",2025,"University of Colorado, Boulder",Computer Science,PES University Computer Science,,8.3/10,"321 (151,170,4)",8,2,24 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2051,"Fall ",2025,"University of Illinois, Chicago",Computer Science,PES University Computer Science,,8.3/10,"321 (151,170,4)",8,2,24 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2052,"Fall ",2025,Carnegie Mellon University,Information Management and Systems,,,3.5/4,"NA (NA, NA, NA)",8,,48 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2053,"Fall ",2025,"Texas A&M University, College Station",Computer Science,"Motilal Nehru National Institute of Technology, Allahabad, EEE",,8.7/10,"327 (159,168,3.5)",8,3,40 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2054,"Fall ",2025,Boston University,Computer Science,Vellore Institute of Technology Computer Science,,9.07/10,"NA (NA, NA, NA)",8,1,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2055,"Fall ",2025,University of Pennsylvania,Computer Science,Vellore Institute of Technology Computer Science,,9.07/10,"NA (NA, NA, NA)",8,1,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2056,"Fall ",2025,NYU Tandon School of Engineering,Computer Science,"Pandit Deendayal Petroleum University, Computer Engg",,NA/10,"NA (NA, NA, NA)",104,7,8 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2057,"Fall ",2025,"State University of New York, Buffalo",Artificial Intelligence,"NIT Durgapur, EEE",,8.46/10,"NA (NA, NA, NA)",97,,37 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2058,"Fall ",2025,New York University,Computer Science,"NIT Kurukshetra, Production and Industrial Engineering",,8.6/10,"326 (159,168,3)",8,,32 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2059,"Fall ",2025,Tufts University,Mechanical Engineering,"Vellore Institute of Technology, Mechanical Engg",,8.5/10,"NA (NA, NA, NA)",,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2060,"Fall ",2025,Northeastern University,Data Science,"Rajiv Gandhi University of Knowledge Technologies, Mechanical Engineering",,8.1/10,"NA (NA, NA, NA)",7,2,15 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2061,"Fall ",2025,Harvard University,Data Science,"IIT Madras, Computer Science",,10-06-2025 00:00,"298 (148, 150, 4)",77,,NA mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2062,"Fall ",2025,"Indiana University, Bloomington",Data Science,"LNM Institute of Information Technology, Jaipur, Computer Science",,6.9/10,"326 (159, 167, 4)",8,1,NA mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2063,"Fall ",2025,Michigan State University,Data Science,"NIT Durgapur, EEE",,8.46/10,"NA (NA, NA, NA)",97,,30 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2064,"Fall ",2025,Arizona State University,Data Science,"Rajiv Gandhi University of Knowledge Technologies, Mechanical Engineering",,8.1/10,"NA (NA, NA, NA)",7,2,15 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2065,"Spring ",2025,"Texas A&M University, Corpus Christi",Data Science,,,6.9/10,"316 (153, 163, NA)",7,,NA mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2066,"Fall ",2025,"State University of New York, Buffalo",Data Science,"LNM Institute of Information Technology, Jaipur, Computer Science",,6.9/10,"326 (159, 167, 4)",8,1,NA mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2067,"Fall ",2025,Northeastern University,Data Science,"PES University, Computer Science",,8.53/10,"NA (NA, NA, NA)",110,,18 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2068,"Fall ",2025,Northeastern University,Data Science,"LNM Institute of Information Technology, Jaipur, Computer Science",,6.9/10,"326 (159, 167, 4)",8,1,NA mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2069,"Fall ",2025,"University of Maryland, College Park",Data Science,"Rajiv Gandhi University of Knowledge Technologies, Mechanical Engineering",,8.1/10,"NA (NA, NA, NA)",7,2,15 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2070,"Fall ",2025,Northeastern University,Data Science,PES University,,8.53/10,"NA (NA, NA, NA)",110 TOEFL,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2071,"Fall ",2025,Michigan State University,Data Science,NIT Durgapur,,8.46/10,"NA (NA, NA, NA)",97 TOEFL,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2072,"Fall ",2025,Arizona State University,Data Science,IIT Madras,,10-06-2025 00:00,"298 (148, 150, 4)",77 TOEFL,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2073,"Fall ",2025,Harvard University,Data Science,IIT Madras,,10-06-2025 00:00,"298 (148, 150, 4)",77 TOEFL,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2074,"Fall ",2025,"University of Texas, Dallas",Data Science,,,10-08-2025 00:00,"338 (168, 170, NA)",,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2075,"Fall ",2025,"University of Maryland, College Park",Data Science,,,3.65/4,"313 (147, 166, NA)",,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2076,"Fall ",2025,Arizona State University,Data Science,Rajiv Gandhi University of Knowledge Technologies,,8.1/10,"NA (NA, NA, NA)",7 IELTS,2,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2077,"Fall ",2025,Stevens Institute of Technology,Data Science,"LNM Institute of Information Technology, Jaipur",,6.9/10,"326 (159, 167, 4)",8 IELTS,1,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2078,"Fall ",2025,Massachusetts Institute of Technology,Data Science,IIT Madras,,10-06-2025 00:00,"298 (148, 150, 4)",77 TOEFL,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2079,"Fall ",2025,"University of Maryland, College Park",Data Science,,,8.3/10,"NA (NA, NA, NA)",,,NA mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
