id,country_region,scholarship_name,provider,degree_level,deadline,detailed_eligibility,link,price,created_at
2,,Tata Scholarship - Cornell University,TATA Trust,Postgraduate,"Jan 02 ,2024","To be considered for the UG Tata Scholarship at Cornell University, an applicant must fulfill the eligibility criteria given below:Nationality:Must an Indian citizen/resident.Be a pass out from any Indian senior secondary school.Financial Requirement:Must qualify for need-based financial aid.English Language Proficiency:Must submit eitherTOEFLor IELTS score.TOEFL-iBT:100IELTS:7.0Admission Status:Must have an admission offer fromCornell University for any undergraduate degree program.Prospective applicants must note that special preference will be given to students from art, engineering, agriculture, applied economics and management, biological science, life science, and other science students. | Application: The students are supposed to complete the College Scholarship Service (CSS) profile to fulfill the requirements of the application process. As a part of the application process, students must completetwo application forms before January 2, 2024:Cornell University Tata Scholarship ApplicationNeed-based Financial Aid Form for International StudentsSome important details to be provided at the time of the application are:Self-income and parent’s incomeNoncustodial parent asset and incomeCitizenship documentsPhotocopy of the Passport | Selection: Students need to fill the details in the application form carefully because the Cornell University Tata Scholarships is awarded purely based on the details and the documents that have been submitted during the application process. Some of the aspects that will be looked into for the selection are:Academic qualificationsFamily incomeCitizenshipEnglish Language Proficiency test ScoreThe shortlisted candidate list will be released on the official portal of Cornell University and hence the students after applying are suggested to have a consistent look at the portal for the results and any other important notices. Recipients of the scholarship will be funded for the duration of their Cornell undergraduate program.",https://collegedunia.com/scholarship/2,Variable Amount,2026-01-19 15:47:38.271698
4,Canada,Ontario Trillium Scholarship,N/A,PhD,N/A,"The eligibility criteria may differ based on scholarship type and the university it is offered with. Suitable candidates are nominated inthe winter sessionfor getting admitted to thefollowing fall, spring or winter terms.To be eligible for receiving OTS, an applicant must:be aninternational studentwith a validCanadian student visa.be proficient in English by the time of application.intend to enroll in adoctoral-level, full-time degree-granting graduate program.Applicants Must Current not Hold other Canadian Scholarships including but not limited to the Queen Elizabeth II Graduate Scholarship in Science and Technology (QEII-GSST), UW Provost Graduate Scholarship.Must be willing to enroll in a doctoral program at a university in Ontario.Have achieved a minimum average of 8.0 on 10.0 scale in the full-time master’s degree which is equivalent to 80% in Ontario.The candidates not have completed a ug or pg degree at any university or college in Ontario immediately after applying for admission to the doctoral program under the OTS.not be a current student at a post-secondary institution in Ontario at the graduate or undergraduate level. | Application: Each eligible university’s unit of graduate studies oversees the application and selection processes for the Ontario Trillium Scholarship. Every institution has its own application process for the OTS program.Following are the documents required to apply for the Ontario Trillium Scholarship:Appropriately filled application formA copy of all the university transcriptsA valid Canadian study permitA copy of the applicant’s average calculationProof ofstandardized tests like IELTS, SAT,etc.Candidate’s letters of recommendationA list of the applicant’s research contributionsA list of awards and scholarships received by the applicantApplicant’s CVCandidate’s plan of studiesThe OTS letter of support from an authorized supervisorProof of good healthMost universities like theUniversity of Toronto,University of Ottawa,York University, etc. automatically nominate eligible high-performing students who have applied for admission. | Selection: A selection committee, chosen by the Vice-Provost, Graduate and Postdoctoral Studies (OGPS), is charged with evaluation of the files and selection of the recipients of the Ontario Trillium Scholarship. Students are selected on the basis of their merit and program criteria.Terms and ConditionsA candidate can request for an interruption of a Trillium by getting approval for up to a year’s leave. The interruption of a Trillium cannot exceed12 consecutive monthsand can be approved in case of:Maternity or parental leaveImmigration processCompassionate leave (example: bereavement)Medical or family leaveA recipient will have to repay the award received if he/she:Transfers to another institutionCompletes the program prior to the scholarship’s natural endWithdraws from the programCould not maintain acceptable academic standingLoses full-time statusLoses eligibility for the renewal of OTS",https://collegedunia.com/scholarship/4,"₹2,622,998 ($28,961)",2026-01-19 15:47:37.947646
5,Canada,Ontario Graduate Scholarship,N/A,PhD,"Sep 01 ,2025","The Ontario Graduate Scholarship Program is jointly governed by the Ontario government and the participatingOntario universities. The deadline to apply for the scholarship is established by the Province but varies according to the university.CitizenshipBoth domestic and international students are eligible for the Ontario Graduate Scholarships. As per the guidelines, the applicant must be:A Canadian citizen or permanent resident at the time of the application;An international student studying in an Ontario university with a validCanadian study permit.Note: Students protected under subsection 95(2) of the Immigration and Refugee Protection Act(Canada)are also eligible to apply for this scholarship.Academic RequirementsTo be eligible for the Ontario Graduate Scholarship, applicants must fulfill the following academic requirements:Hold anA– Average (Ontario equivalent of 80%)in both the years of full-time study before being awarded the scholarship.International applicants must be proficient in English by the time of application.Applicant must be registered full-time in a graduate degree program, that is,60% or more of a full course load as defined by the university40% or more for students with disabilities.Eligibility Conditions for Ontario Graduate ScholarshipsMaster’s students are eligible to receive the scholarship for a maximum of 2 years. Whereas, doctoral students may receive the scholarship for 4 years.The lifetime maximum restriction for a government-funded scholarship is six years for any student.No single student can avail two government-funded scholarships concurrently. The restricted scholarships are listed below:Queen Elizabeth II Graduate Scholarship in Science and Technology (QEII-GSST) (formerly OGSST)Ontario Trillium Scholarships (OTS)Social Sciences and Humanities Research Council of Canada (SSHRC)Natural Sciences and Engineering Research Council (NSERC)Canadian Institute of Health Research (CIHR)Vanier Canada Graduate Scholarships (Vanier CGS) | Application: The OGS program adjudication takes place at the program level, therefore deadlines and specific processes are determined by an individualmaster-level program at Canadian universities. However, while applying for the scholarship, students have to submit the following documents:Ontario Graduate Scholarship 2024 application formConfidential Academic Assessment Reports from two academic referees.Academic transcripts from previously attended post-secondary institutions.Copy of photocopy of the proof Canadian citizenship/ permanent resident status or copies of visa documentation.Plan of study (maximum of 3,950 characters including spaces)Previous awards/publications/research experienceUniversities Offering Ontario Graduate ScholarshipsThe universities offering OGS program are tabulated below:Brock UniversityWilfrid Laurier UniversityYork UniversityTrent UniversityCarleton UniversityUniversity of TorontoWestern UniversityUniversity of Ontario Institute of TechnologyQueen’s UniversityUniversity of WindsorLaurentian UniversityUniversity of WaterlooUniversity of OttawaMcMaster UniversityRyerson UniversityLakehead UniversityUniversity of GuelphNipissing UniversityStart date & payment scheduleAward Start DateRecommended Payment Activation Form Submission Deadline to Department1st Payment2nd Payment3rd Payment3-session Award Period2-session award PeriodSummer (May)Two weeks after SGS offer letterLate July at the earliestSeptemberJanuaryMay 1 to April 30May 1 to Dec 31Fall (September)August 1SeptemberJanuaryMaySept 1 to Aug 31Sept 1 to April 30Winter (January)December 1JanuaryMaySeptemberJan 1 to Dec 31Jan 1 to Aug 31 | Selection: There arethree areas of evaluationunder which each OGS 2026 application will be evaluated. Respective program departments and faculties determine the weight placed on each of the following criteria:OGS Selection Criteria for Masters level:CriteriaDescriptionWeightingAcademic ExcellenceTranscripts; Other academic achievements; Type of program; Course load; Duration of course; Prior scholarships and awards30%Research Potential and Statement of InterestStatement of Interest (motivation, creativity, communication skills); Relevance of work experience; Significance and merit of proposed research; Initiative and contribution to research and development30%Personal Characteristics/ Academic Assessment from RefereesWork experience; Leadership experience; Involvement in academic life; Project management20%OGS Selection Criteria forDoctoral level:CriteriaDescriptionWeightingAcademic ExcellenceAcademic records; Scholarships and awards received; Duration of the previous course30%Research PotentialPlan of study; Judgment and originality; Initiative and autonomy; Interaction with supervisors & peers; Ability to lead and complete projects within the allotted time.50%Personal Characteristics/ Academic Assessment from RefereesQuality of presentation; Publications; Professional relevant extracurricular interaction and mentoring20%Conditions for",https://collegedunia.com/scholarship/5,"₹1,358,550 ($15,000)",2026-01-19 15:47:38.378028
6,Australia,Australia Awards Scholarship,N/A,Postgraduate,"Apr 30 ,2024","To apply for Australia Awards Scholarship, applicants must fulfill the following eligibility requirements:Citizens and residents of a participating country like India, Bangladesh.Not a permanent resident of Australia or New Zealand.Overs 18 years of age on February 1 of the scholarship’s commencement.Proficiency in the English language, with a recent score of IELTS or TOEFL exam.IELTS: 6.5TOEFL-iBT: 78PTE: 58Satisfying the entry requirements of the chosen Australian university.Fulfilling the Australia visa requirements of the Department of Home Affairs.Candidates mustnothave previously been a recipient of Australia Awards unless they have lived outside Australia for double the time period of staying in Australia. | Application: To apply for the Australian Awards Scholarship, students must complete the following steps:Step 1:Choose home country and award type to check whether you are eligible for the award.Step 2:Once eligibility is established, review the course eligibility criteria.Step 3:Register and complete the online application form for Australian Awards.Documents RequiredCertified copies of following original documents along with their English translations (if required)graduation degree certificateFormal academic transcriptsBirth certificateCitizenship document’s certified copy (such as national identity card or passport).Resume concisely detailing work history, responsibilities and research experience.At least one academic referee report and one other referee report is required.Ph.D. or research-based master’s degree applicants must provide two academic referee reports.Copy of English language test (TOEFL, PTE orIELTS) result.The certificate must be valid till January 1 of the scholarship’s commencement year.For PhD candidates: Evidence (e-mail or letter communication) that a potential supervisor has granted in-principle support for the research topic. | Selection: All applications submitted for the Australia Awards Scholarship are considered on merit where every applicant is given equal opportunities. The scholarship selection process will be administered by Program Areas in various countries or regions. Therefore, the process varies according to the region/country.Factors affecting Australia Awards ScholarshipsAcademic competencepersonal and professional qualitiescapability to influence the home country’s development challengesBased on these factors and many others, each participating country produces a list of shortlisted candidates. The number of students depends on the Australia Awards Scholarships available to the region. Shortlisted students are interviewed and the selection process may include other activities like group participation sessions to measure the suitability of applicants.After that, each participating country produces a list of candidates, with their first preference course and institution. Placement requests are reviewed by theAustralian universitiesand based on the merit, they process a placement offer to applicants fulfilling the admission eligibility criteria. This includes obtaining anAustralian student visaas well.Australia Awards Scholarship decisions are announced/informed byAugust 1.",https://collegedunia.com/scholarship/6,Variable Amount,2026-01-19 15:47:38.605444
7,USA,Stanford Reliance Dhirubhai Fellowship Program,N/A,Postgraduate,"May 01 ,2026","To be eligible for this fellowship program, candidates must meet the admission requirements of the Stanford MBA program.Bachelor’s degree(in any field that is equivalent to a U.S. bachelor’s degree)SubmitGRE/ GMAT and IELTS/ PTE/ TOEFLscores. The minimum score requirements for the same are:TOEFL-iBT: 100IELTS: 7.0PTE: 68Submit letters of recommendation and statement of purposeOptional questions (200 words)Work experience (optional)ResumeApart from the above requirements, the students will also be evaluated based on the leadership role they have taken, and professional work experience. The student must demonstrate how they will contribute to the learning community of Stanford both on campus and off campus. | Application: To be considered for the Stanford Reliance Dhirubhai Fellowship Program, applicants are required to complete the scholarship form along with the Stanford MBA application form. Following documents will be required from students seeking fellowship for pursuing Stanford MBA:Mark sheets showing educational performance in class 10th, 12th, and graduationEssay of 250-Words (on a given topic)Resume or Curriculum Vitae(CV) [Should be of one-page]Awards, Certificates, and Recognition (both academic and social)Employment history (years of experience, name of the organization, and type of work)GMAT/ GRE Official ScoresFinancial and tax-related documentsFamily income (annual)Official transcriptsLetter of recommendation: Applicants are supposed to submit two LORs highlighting their professional careers.Note:This fellowshippre-applicationform does not require any fees. | Selection: A total of 50 candidates are shortlisted during the evaluation process for the fellowship program. The candidates are selected based on their academic standings, financial need and overall application profile. However the acceptance rate for scholarships is only 5.4% which makes it highly competitive to earn. Among the 50 shortlisted candidates, only 3 are selected for fellowship based on their leadership qualities, skills, work experience (if any), financial requirements and overall profile.The Standard Reliance Dhirubhai Fellowship program only considers those candidates who demonstrate strong academic standings and completed their senior secondary education in India.",https://collegedunia.com/scholarship/7,"₹13,585,500 ($150,000)",2026-01-19 15:47:38.688946
8,UK,Inlaks Shivdasani Foundation Scholarships,N/A,PhD,N/A,"The candidate must be an Indian citizen, residingin India for at least six monthsat the time of application. In addition to this, all suitable candidates for Inlaks Shivdasani Foundation Scholarships must fulfill the following requirements:No candidate should be over the age of 30 yearsMust be an Indian passport holderMust not hold a postgraduate degree from abroadCandidates who are currently studying a postgraduate degree abroad are not eligible for this fellowshipEvidence of admission is mandatory before applying for fellowshipHold a first-class undergraduate degree from arecognized university in IndiaInternational university graduates must have stayed in India for two years before applying.Have fulfilled all the admission requirements of the chosen coursework.For Social Sciences, Humanities, Law, Fine Arts, Architecture and related subjects, applicants must have a minimum academic grade of 65%, CGPA 6.8/10, or GPA 2.6/4 from a recognized university/institution.For Mathematics, Sciences, Environment and related subjects, applicants must have a minimum academic grade of 70%, CGPA 7.2/10, or GPA 3/4 from a recognised university/institution.Also, the applicant must NOT hold a master’s degree from an international university. The applicant must also not have already begun a postgraduate degree course abroad at the time of application.Fellowship Specific Eligibility RequirementsEach fellowship has some specific eligibility criteria. The following section discusses the criteria of all the fellowships individually:Inlaks Fine Arts AwardsCompleted graduation or post-graduation from any esteemed Indian institution.Final year visual arts students are also eligible.If you don’t have a formal degree in visual arts, you must have prior experience in hosting art exhibitions.Inlaks Fellowship for Indian Classical MusicMust have some formal training in Indian classical music.Inlaks Theatre AwardsThe candidate must be below the age of 35.Completed graduate or postgraduate degree from any recognized Indian University.Candidates who do not have a formal degree will be considered based on their notable past achievements.Inlaks Research Travel GrantThe candidate must be below the age of 35.Must have either a first-class in Masters degree or a first-class in bachelors (honors) degree.Those who have attained a first-class in both graduation and postgraduation will be given preference.Must have a confirmed Ph.D. program registration in Humanities and Social Science at any recognized Indian institute for a minimum period of two years but not exceeding four years.Apart from the above-mentioned scholarships, the Foundations also gives internships, fellowships, grants, and awards under Inlaks Ravi Sankaran Programme, AAA Artist Grant, Film, and Television Awards, Sports Awards, etc. | Application: Things to keep to keep in mind while applying for scholarship:Submit the online application for scholarshipMust hold a valid Indian passportOnly one submission per candidateThe applications that do not meet the minimum admission and financial requirement will not be considered for scholarship.It is mandatory to submit at least 2 letters of recommendation with one from the academic counselor or teacher.Documents Required for ApplicationThe following documents must be submitted along with the application form:Evidence of admission to a course or a universityFinancial requirements of the institute, written in detailPhotocopy of the first and last pages of passportAt least onereference letter- this can also be emailed directly to the institute atapplications@inlaksfoundation.org.The subject line of the email should be as follows: Reference Letter | Name of Applicant | Email Address of Applicant.Candidates applying in the field of architecture, fine and applied arts, film, dance, acting, and music, must upload their portfolio as a PDF file or share an online link.Candidates are to verify all the information before submitting the application. In case an error persists, candidates must email the same with a screenshot atapplications@inlaksfoundation.org. | Selection: The selection of Inlaks Shivdasani Foundation Scholarship awardees is carried out by an independent Inlaks Selection Committee of the Foundation, who analyzes and evaluates all the applications, and calls promising candidates for the interviews. Applicants are not only evaluated based on their past and present performances but also on their potential as demonstrated in the application. The applicants applying to arts and design courses will be evaluated on the basis of their portfolios.The Foundation conducts scholarship interviews either in Delhi or Mumbai in May or June.",https://collegedunia.com/scholarship/8,"₹9,057,000 ($100,000)",2026-01-19 15:47:38.899692
9,,Rotary Foundation Scholarships- Global Grants,N/A,Postgraduate,N/A,"Requirements for the Rotary Foundation Global Grants are quite straightforward and specific and are based on the applicant’s project.An eligible applicant’s project must:Have a long-term and sustainable impact on the societyAddress an essential area identified by the community.Includes activities that align with the foundations’ beliefsHave a minimum expenditure budget of 30,000 USDIn addition to these, candidates must meet the following academic requirements:Minimum academic qualification and performanceLanguage proficiency (the language of the study country or instruction)Strong public speaking and interpersonal communication skillsHigh ethical standards demonstrated in personal, academic, or professional lives | Application: Along with the application for the Rotary Foundation Scholarship- Global Grants, individual applications by the members of the vocational training team and scholars must also be submitted.Applicants must provide proof of admission in a university’s graduate-level program or a letter of invitation for conducting postgraduate-level research in their applications.Applicants must intend to receive education in a foreign country.Applications regarding travel for vocational training teams, scholars and volunteer travelers must be submitted 90 days before the travel dates. | Selection: The Rotary Foundation Global Grants have their own panel of the selection committee:.Grant decisions are based on the application forms and the further interview sessions of the shortlisted candidates.Interview can take place in-person or via live video conference, which will be specified by the committee at the start of the process. The date and time are also confirmed then.Rotary Foundation consists of over 35,000 clubs that work together to address the world’s most challenging issues. It has members in almost every country and has headquarters in Evanston, Illinois, USA. It also has associate foundations in Brazil, Australia, Canada, India, Germany, United Kingdom, and Japan.",https://collegedunia.com/scholarship/9,"₹362,280,000 ($4,000,000)",2026-01-19 15:47:38.48275
10,UK,Hornby Scholarships,N/A,Postgraduate,"May 20 ,2024","Applicants for Hornby Scholarships must fulfill the following eligibility criteria:Have three-year full-time English Language teaching experience and a UG degreeUG degree should be equivalent to a bachelor’s degree in the United Kingdom.Have a minimum of5 yearsof experience as an English language teacher or trainer.Must be involved in some developmental work as a trainer or manager.Must be a citizen of the country from which they apply.Score well in theIELTS, TOEFL, orPTEexaminations.Minimum of6.5 GPAis required for the English language examinations.Must have supervised in the course of the English language.Note:The candidates who have applied for the English Language course in the United Kingdom for a master's degree program or diploma program are eligible to obtain financial support. | Application: Applicants are required to submit the personal, academic, professional, referees details along with a supporting statement. The details required are mentioned below:Personal details:Full nameE-mail addressDate of birthGenderNationalityResidential addressContact informationAcademic details:Name of the institutionUndergraduate degree and specialization course10+12 mark sheetCertificatesAwardsInformation about the courses which were related to English mediumProfessional details:Name of organizationPosition in the companyType of workDates when the applicant was employedJoining dateResignation letterReferees:Details of at least two referees who can give the candidate’s reference, if shortlisted for the interviewReferee’s nameProfessional informationEmail addressReferee’s professional relation to the candidateSupport statement:The candidate is supposed to justify why he or she is applying for the Hornby Scholarship in about 1,500 words. In addition, the applicant has to answer several questions like:Describe the current English teaching duties and the training that one has delivered?Is the applicant a teacher or trainee?Why does the applicant wish to study for amaster's degree at the University of Warwick?What professional skills and experience would the applicant bring to the studies?If the applicant is awarded the Hornby scholarship, in what way does it benefit him/her?How would the applicant share their learning and knowledge with English language teachers after returning to their home country from the United Kingdom? | Selection: The scholarship features a four-stage selection process listed below:Online application form –The candidates submit the online application form for an initial assessment.Interview –The applicants who clear stage 1 are called for an interview round at the office of the British Council in their country of origin.Application to the University –If the applicant is selected in the interview, he or she will be invited to apply to the university for further consideration.University acceptance –The scholarship award is confirmed for the candidate and arrangements are made for him or her to arrive in the United Kingdom to join the classes.This is a significant process that needs to be completed after the submission of the application form.",https://collegedunia.com/scholarship/10,"₹1,732,061 ($19,124)",2026-01-19 15:47:38.776144
11,Germany,Heinrich Boll Scholarships,N/A,PhD,"Sep 01 ,2025","To be eligible for applying to Heinrich Boll Scholarships, students must meet certain criteria. The eligibility requirements are different for students educated in Germany, students educated in one of the EU member states (excluding Germany) and the ones educated anywhere other than EU member states. Following are the eligibility requirements for various categories of students:For Undergraduate and Graduate Students:RequirementsGerman/Foreign students (educated in Germany)EU nationals (not educated in Germany)Non-EU nationals (not educated in Germany)Degree required to qualify for the scholarshipFirst degree only (Diploma, Bachelors, and Staatsexamen)Master’s degree only (first professional qualification proof must be provided)Master’s degree only (first professional qualification proof must be provided)Earliest application dateImmediately before the start of studiesImmediately before the start of studiesImmediately before the start of studiesLatest application dateDuring your degree course’s third semester (enclosed student registrationrequired)During your degree course’s first semester (enclosed student registrationrequired)During your degree course’s first semester (enclosed student registrationrequired)Eligible coursesAllAllAllEligible host universitiesstate or state-approved universities in Germany or other EU member statesstate or state-approved universities in Germany or other EU member statesstate or state-approved universities in GermanyGerman proficiency proof-Level DSH 2 or B2 (certificate required)Level DSH 2 or B2 (certificate required)For Doctoral Students:RequirementsGerman/Foreign students (educated in Germany)EU nationals (not educated in Germany)Non-EU nationals (not educated in Germany)Doctoral studies AdmissionProof of doctoral studies admission at a state or state-approved university must be attached to the applicationProof of doctoral studies admission at a state or state-approved university must be attached to the applicationProof of doctoral studies admission at a state or state-approved university must be attached to the applicationApplication datePreliminary work must have been finished and the submission of a valid timetable for completion is requiredPreliminary work must have been finished and the submission of a valid timetable for completion is requiredPreliminary work must have been finished and the submission of a valid timetable for completion is requiredEligible fieldsAll (subjects related to the foundation’s basic values will be given priority)All (subjects related to the foundation’s basic values will be given priority)All (subjects related to the foundation’s basic values will be given priority)Regular scholarship periodTwo years (maybe extended two times at the most by half a year)Two years (maybe extended two times at the most by half a year)Two years (maybe extended two times at the most by half a year)German proficiency proof–Level DSH 2 or B2 (certificate required)Level DSH 2 or B2 (certificate required) | Application: How to Apply for Heinrich Boll Scholarships?The Heinrich Boll Foundation only acceptsonlineapplications. The online portal opens aroundsix weeksprior to the deadline for applying. To apply for the scholarship:Check the next deadline on the official website of the Heinrich Boll Foundation.Access the form from the foundation’s online portal.Fill the form completely and correctly.Attach the required documents in PDF format to the online application.Submit the completed application and all the necessary documents before the deadline.Required DocumentsFollowing are the documents applicants are required to submit while applying for the scholarship:Completely and correctly filled application form along with the applicant’s personal data and CV, motivation for applying, motivation for studying the chosen subject, an outline of his/her political interests and social commitments, and an outline of the Ph.D. thesis project (for doctoral students only)A copy of the applicant’s university entrance qualification, Abitur or baccalaureate. Attach an English or German translation by a certified translator, if required.If an applicant has already commenced the studies, he/she is required to submit a list of study certificates to date.Foreign applicants seeking to pursue a master’s degree must submit their first-degree certificate’s certified copy (with English or German translation if required). Applicants will also have to submit an explanation of the grading in case it is different from the German system.Student enrolment certificateA 1-2 page long reference on the applicant’s social commitment by a representative of an organization or an institutionA 1-2 page long expert reference by a university/college lecturer or a school teacher (in case of secondary-level students). Those applying for doctoral scholarships have to submit two expert references.Doctoral students are also required to attach a detailed exposé of their research project. | Selection: The selection pr",https://collegedunia.com/scholarship/11,Variable Amount,2026-01-19 15:47:39.314701
12,Germany,Deutschland Stipendium Program,N/A,,N/A,"Both International students as well as German students studying at Germany’s public or state-recognized university are eligible for the funding under Deutschland Stipendium.Studying or commencing studies at UG or PG-level degree any German institution.Part-time students and prospective students waiting for admission are also considered eligible.Proficiency certificate in English or German language.For more details students may refer to The Scholarship Program Ordinance (StipV) and the Scholarship Program Act (StipG). | Application: For details regarding the application process, deadline of application, admission requirement and supporting documents aspiring students must directly get in touch with the university they are enrolled in or in which they are seeking admission.First- and higher-semester students can apply directly to their university if they provide Deutschland Stipendium.Master’s program applicants need to include the certificate from their undergraduate degree.For matriculated students, they need to include a current transcript indicating their unweighted average grade (or evidence of their average grade/final grade on the last examination or degree completed).The application for Deutschland Stipendium or German Scholarship can be submitted online via the Deutschlandstipendium official website.Note:All supporting documents must be submitted in English or German. Documents issued in other languages need to be provided as both original copy and officially certificated translation. The application period may vary from university to university, hence it is advised to check the deadlines before applying for the scholarship. | Selection: An applicant’s entire personality is taken into account during the selection process. From academic excellence to personal achievements, everything is equally considered. As per majority oftop institutions in Germany, selections for Deutschland Stipendium are based on the following factors:Scholastic and professional recognitionsInvolvement in extra-curricular activitiesSpecial achievements, if anyVolunteer work, if anySelecting the successful candidates and approaching potential sponsors with financial assistance from the Federal Government - the entire process is conducted by the respective universities.Germany recognizes and appreciates the role played by young professionals in its development, so the government aims to promote education by providing scholarships and grants. More than 7,500 sponsors contributed to raising around 29 million euros along with the government last year. Students who are recipients of the Germany scholarship are allowed to have other sources of income as well, like the BAfoG.",https://collegedunia.com/scholarship/12,"₹31,790 ($351)",2026-01-19 15:47:39.115556
